ID,Frequency,Description
VENT840101,119,"Bitterness (Venanzi, 1984)"
CHAM830103,117,"The number of atoms in the side chain labelled 1+1 (Charton-Charton, 1983)"
FAUJ880111,101,"Positive charge (Fauchere et al., 1988)"
ANDN920101,101,"alpha-CH chemical shifts (Andersen et al., 1992)"
KLEP840101,88,"Net charge (Klein et al., 1984)"
FAUJ880112,87,"Negative charge (Fauchere et al., 1988)"
CHAM830107,66,"A parameter of charge transfer capability (Charton-Charton, 1983)"
CHAM830104,60,"The number of atoms in the side chain labelled 2+1 (Charton-Charton, 1983)"
FAUJ880105,59,"STERIMOL minimum width of the side chain (Fauchere et al., 1988)"
FAUJ880109,58,"Number of hydrogen bond donors (Fauchere et al., 1988)"
CHAM830105,55,"The number of atoms in the side chain labelled 3+1 (Charton-Charton, 1983)"
NOZY710101,40,"Transfer energy, organic solvent/water (Nozaki-Tanford, 1971)"
CHAM830108,24,"A parameter of charge transfer donor capability (Charton-Charton, 1983)"
FINA910104,22,"Helix termination parameter at posision j+1 (Finkelstein et al., 1991)"
BEGF750102,20,"Conformational parameter of beta-structure (Beghin-Dirkx, 1975)"
CHAM830106,20,"The number of bonds in the longest chain (Charton-Charton, 1983)"
FINA910101,19,"Helix initiation parameter at posision i-1 (Finkelstein et al., 1991)"
LEVM760107,19,"van der Waals parameter epsilon (Levitt, 1976)"
KARS160120,15,"Weighted minimum eigenvalue based on the atomic numbers(Karkbara-Knisley, 2016)"
BEGF750103,14,"Conformational parameter of beta-turn (Beghin-Dirkx, 1975)"
SUEM840102,13,"Zimm-Bragg parameter sigma x 1.0E4 (Sueki et al., 1984)"
JANJ790102,13,"Transfer free energy (Janin, 1979)"
FINA910102,13,"Helix initiation parameter at posision i,i+1,i+2 (Finkelstein et al., 1991)"
MITS020101,12,"Amphiphilicity index (Mitaku et al., 2002)"
BEGF750101,12,"Conformational parameter of inner helix (Beghin-Dirkx, 1975)"
RACS820109,12,"Average relative fractional occurrence in AL(i-1) (Rackovsky-Scheraga, 1982)"
FAUJ880110,10,"Number of full nonbonding orbitals (Fauchere et al., 1988)"
MEIH800101,8,"Average reduced distance for C-alpha (Meirovitch et al., 1980)"
LEVM760106,8,"van der Waals parameter R0 (Levitt, 1976)"
PONP800101,8,"Surrounding hydrophobicity in folded form (Ponnuswamy et al., 1980)"
FASG760102,8,"Melting point (Fasman, 1976)"
QIAN880137,7,"Weights for coil at the window position of 4 (Qian-Sejnowski, 1988)"
MAXF760101,7,"Normalized frequency of alpha-helix (Maxfield-Scheraga, 1976)"
MONM990201,7,"Averaged turn propensities in a transmembrane helix (Monne et al., 1999)"
FAUJ880103,7,"Normalized van der Waals volume (Fauchere et al., 1988)"
RACS820101,7,"Average relative fractional occurrence in A0(i) (Rackovsky-Scheraga, 1982)"
CHOP780215,7,"Frequency of the 4th residue in turn (Chou-Fasman, 1978b)"
RICJ880109,7,"Relative preference value at Mid (Richardson-Richardson, 1988)"
GOLD730101,6,"Hydrophobicity factor (Goldsack-Chalifoux, 1973)"
CHOC760102,6,"Residue accessible surface area in folded protein (Chothia, 1976)"
CHAM810101,6,"Steric parameter (Charton, 1981)"
RICJ880112,6,"Relative preference value at C3 (Richardson-Richardson, 1988)"
ROSM880103,6,"Loss of Side chain hydropathy by helix formation (Roseman, 1988)"
LEVM760103,6,"Side chain angle theta(AAR) (Levitt, 1976)"
PALJ810110,6,"Normalized frequency of beta-sheet in all-beta class (Palau et al., 1981)"
CHAM820102,5,"Free energy of solution in water, kcal/mole (Charton-Charton, 1982)"
CHOP780101,5,"Normalized frequency of beta-turn (Chou-Fasman, 1978a)"
RICJ880117,5,"Relative preference value at C"" (Richardson-Richardson, 1988)"
GEIM800105,5,"Beta-strand indices (Geisow-Roberts, 1980)"
RICJ880105,4,"Relative preference value at N2 (Richardson-Richardson, 1988)"
KARS160101,4,"Number of vertices (order of the graph) (Karkbara-Knisley, 2016)"
KARS160104,4,"Weighted domination number (Karkbara-Knisley, 2016)"
WILM950102,4,"Hydrophobicity coefficient in RP-HPLC, C8 with 0.1%TFA/MeCN/H2O (Wilce et al.1995)"
CHOP780209,4,"Normalized frequency of C-terminal beta-sheet (Chou-Fasman, 1978b)"
JANJ790101,4,"Ratio of buried and accessible molar fractions (Janin, 1979)"
CHOP780204,4,"Normalized frequency of N-terminal helix (Chou-Fasman, 1978b)"
BUNA790103,4,"Spin-spin coupling constants 3JHalpha-NH (Bundi-Wuthrich, 1979)"
GEIM800101,4,"Alpha-helix indices (Geisow-Roberts, 1980)"
PUNT030101,4,"Knowledge-based membrane-propensity scale from 1D_Helix in MPtopo databases(Punta-Maritan, 2003)"
BULH740101,3,"Transfer free energy to surface (Bull-Breese, 1974)"
QIAN880117,3,"Weights for beta-sheet at the window position of -3 (Qian-Sejnowski, 1988)"
EISD860102,3,"Atom-based hydrophobic moment (Eisenberg-McLachlan, 1986)"
HOPT810101,3,"Hydrophilicity value (Hopp-Woods, 1981)"
BROC820102,3,"Retention coefficient in HFBA (Browne et al., 1982)"
KARS160110,3,"Minimum eigenvalue of the weighted Laplacian matrix of the graph(Karkbara-Knisley, 2016)"
KARS160108,2,"Average weighted degree (total degree, divided by the number of vertices)(Karkbara-Knisley, 2016)"
EISD860103,2,"Direction of hydrophobic moment (Eisenberg-McLachlan, 1986)"
ROBB790101,2,"Hydration free energy (Robson-Osguthorpe, 1979)"
KARS160106,2,"Radius (minimum eccentricity) (Karkbara-Knisley, 2016)"
RICJ880111,2,"Relative preference value at C4 (Richardson-Richardson, 1988)"
RICJ880108,2,"Relative preference value at N5 (Richardson-Richardson, 1988)"
RICJ880104,2,"Relative preference value at N1 (Richardson-Richardson, 1988)"
MIYS990102,2,"Optimized relative partition energies - method A (Miyazawa-Jernigan, 1999)"
PALJ810112,2,"Normalized frequency of beta-sheet in alpha/beta class (Palau et al., 1981)"
KARS160116,2,"Weighted diameter based on the atomic number (maximum eccentricity)(Karkbara-Knisley, 2016)"
RICJ880110,2,"Relative preference value at C5 (Richardson-Richardson, 1988)"
FINA770101,2,"Helix-coil equilibrium constant (Finkelstein-Ptitsyn, 1977)"
DAYM780101,2,"Amino acid composition (Dayhoff et al., 1978a)"
CEDJ970104,2,"Composition of amino acids in intracellular proteins (percent) (Cedano etal., 1997)"
PALJ810107,1,"Normalized frequency of alpha-helix in all-alpha class (Palau et al., 1981)"
WERD780101,1,"Propensity to be buried inside (Wertz-Scheraga, 1978)"
NAGK730102,1,"Normalized frequency of bata-structure (Nagano, 1973)"
QIAN880101,1,"Weights for alpha-helix at the window position of -6 (Qian-Sejnowski, 1988)"
GARJ730101,1,"Partition coefficient (Garel et al., 1973)"
PONP800107,1,"Accessibility reduction ratio (Ponnuswamy et al., 1980)"
KYTJ820101,1,"Hydropathy index (Kyte-Doolittle, 1982)"
